Manufacturer	Model	Type	Status	Size [in]	Re [ohm]	fs [Hz]	Qms	Qes	Qts	Rms [Ns/m]	Mms [g]	Cms [mm/N]	Vas [l]	Sd [cm2]	BL [Tm]	Pmax [W]	Xmax [mm]	Beta	Z1k [ohm]	Z10k [ohm]	Le [mH]	Leb [mH]	Ke [sH]	Rss [ohm]	USPL [dB]	BL²/Re	Revision	Updated
JBL	2206H			12	5.3	52	4.5	0.34	0.31	4.65	63.99	0.15	62	550	18.1	600	7.5				1.5				97.9	61.81		
JBL	2213H			12	4.4	25	8.5	0.52	0.49	1.06	57.26	0.71	235	487	8.72	75	7.8				0.6				93.1	17.28		
JBL	2214H			12	5.6	23	10.5	0.25	0.24	1.14	83.12	0.58	224	527	16.4	200	6.6				1.3				93.9	48.03		
JBL	2226H			15	5	40	5.7	0.33	0.32	4.32	98.08	0.16	175	880	19.2	600	7.6				1.75				99.3	73.73		
JBL	2226J			15	10	40	5.7	0.34	0.32	4.32	98.08	0.16	175	880	27.1	600	7.6				3.5				96.2	73.44		
JBL	2235H	S		15	6	20	2.5	0.28	0.25	7.81	155.4	0.41	458	896	20.46	150	8.4				1.2				94.4	69.77		
JBL	2241G			18	2.5	35	5.7	0.43	0.4	5.54	143.59	0.14	310	1240	13.6	600	7.6				0.86				102	73.98		
JBL	2241H			18	5	35	5.7	0.43	0.4	5.54	143.59	0.14	310	1240	19.2	600	7.6				1.75				98.9	73.73		
JBL	2245H	S		18	5.8	20	2.2	0.27	0.24	10.38	181.65	0.35	821	1297	22.14	300	9.6				1.4				97.3	84.51		
JBL	800GTI				3.2	67	4.8	0.6	0.53	3.554	40.5	0.139	7.8	200	9.54	100	4		4	10					91.9	28.44		2017-07-01/Data import
JBL	E110			10	6	63	4	0.4	0.36	1.95	19.7	0.32	45.3	316	10.81	75	2.5				0.4				97.8	19.48		
JBL	E120			12	6.3	60	1.8	0.19	0.17	7.23	34.54	0.2	79.2	527	20.78	150	3				0.4				102.6	68.54		
JBL	E130			15	6.3	40	1.8	0.21	0.19	8.31	59.51	0.27	297	893	21.18	150	2.5				0.4				102.6	71.21		
JBL	E140			15	5.5	32	5	0.19	0.18	3.76	93.61	0.26	297	896	23.34	200	3.4				1.1				100.7	99.05		
JBL	GT152			15	2.2	24	8.12	0.41	0.39	2.62	141.28	0.31	319.42	856.1	10.65	150	3.8				0.84				97.9	51.56		
JBL	W15GTi-MkII	S	Active	15	2.95	25.2	7.2	0.51	0.48	5.726	260.67	0.153	132.2	780	15.39	800	20.32	0			1				92.5	80.29		2022-11-08/Janne Panu
Joku	12F400GW	W	Active	12	4.54	46.4	15.12	0.323	0.316	1.5	79.59	0.1433	64	550	17.91	100	8	0.052	9.5	36.3	2.21	0.254	0.0995	151	97.4	70.65		
Jordan (EAD)	jx92s			5	5.4	51	2.1	0.76	0.56	1.07	7.01	1.4	12	78.5	4		4.5								86.9	2.96		
KEF	B110-A			5.25	7.1	35	6.7	0.32	0.31	0.34	10.38	2	23.6	92	7.1	30	3				0.45				87.5	7.1		
KEF	B110-B			5.25	7.1	36	2.44	0.31	0.28	0.91	9.8	2	23.6	92	7.1	50	3				0.45				88	7.1		
KEF	B139-B			10	6.6	25	5.5	0.3	0.28	1.24	43.5	0.93	164	354	12.3	100	3				0.56				92.2	22.92		
KEF	B200-A	W		8	7.1	24.6	4.7	0.52	0.47	0.79	24	1.7	131.5	232	7.1	50	3				0.42				88.3	7.1		
KEF	Q200H	W		8	3.9	35	3.33	0.39	0.35	1.27	19.28	1.1	74	222	6.51	75									94.2	10.87		
Kenford	ZYD300B-8-6-12				5.5	54	10.8	0.44	0.42	1.592	50.7	0.171	60	500	14.66	125	2.5		8	30					96.9	39.08		2017-07-01/Data import
Klipsch	KP-1543			10	3.4	36.2	5.31	0.33	0.31	0.72	16.79	1.2	198	350.5	6.24	400	3.7				1.06				100.3	11.45		
Klipsch	KP-1548			10	4.1	37.7	4.6	0.46	0.42	0.69	13.39	1.3	213	338.1	5.31	400	2.75				1.25				98.8	6.88		
Mach5Audio	IXL 18.4	S		18	3.4	17.7	5.59	0.39	0.36	8.69	434.3	0.18	274.1	1029.2	20.52		11								91.6	123.84		
Madisound	12204DVC			12	3.7	24.5	4.58	0.42	0.38	2.55	75.72	0.56	220	531	10.13	100	2.5				0.26				94.2	27.73		
Mark Audio	Alpair 10			5.25	5.4	40	2.24	0.39	0.33	1.04	9.24	2.4	19.5	90	5.83	70	4.25				0.07				88.8	6.29		
McGee	201847 Mk II HTH				6	88	3	1.2	0.86	4.668	25.3	0.129	7.6	205	8.37	100	2		9	25					89.6	11.68		2017-07-01/Data import
MCM	55-1853	F	Active	4	6.8	60	2.41	0.46	0.38	0.902	5.83	1.22	5	54.1	5.67	20	2.6	0	8.8	22.7	0.77				86.4	4.73	2002/03/14	2019-10-09/Kimmo Saunisto
M-Force	301P02	S	Active	30	0.26	26	14.42	0.23	0.226	27.6	2436	0.015	222	3210	21	5000	18	0			4.3				109.2	1696.15		2024-02-14/Kimmo Saunisto
MGR	20 K 10 A	W		8	5.6	37.8	3.68	0.5	0.44	1.01	15.56	1.1	79.84	224	6.46	100					1.03				92.9	7.45		
MGR	25 K 20 A			10	5.4	31.1	3.63	0.45	0.4	1.36	25.26	1	183.4	356	7.7	125					1.27				94.6	10.98		
MGR	M 12 PP 5 A			4.5	5.3	540.7	9.57	4.54	3.08	1.43	4.01	0.022	0.17	76	3.99	100					0.25				91.5	3		
mivoc	AW2000				3	30	4.1	0.32	0.3	2.243	48.8	0.577	37	214	9.28	150	6.5		12	44					91.2	28.71		2017-07-01/Data import
mivoc	AW3000				3	27	4.1	0.33	0.31	5.336	128.9	0.269	97	507	14.1	100	6.4		15	55					93.9	66.27		2017-07-01/Data import
mivoc	AWM104				3.1	31	7.4	0.27	0.26	3.144	119.4	0.221	37	346	16.34	200	9		24	115					92.2	86.13		2017-07-01/Data import
mivoc	AWM124				3.1	30	7.5	0.26	0.25	3.745	149	0.189	68	507	18.3	220	9		24	115					94.6	108.03		2017-07-01/Data import
mivoc	AWX184				3.2	28	2.4	0.36	0.31	14.861	202.7	0.159	315	1188	17.81	400	5		9.5	25					98.8	99.12		2017-07-01/Data import
mivoc	MHE380				6.3	91	6.6	0.52	0.48	0.152	1.8	1.748	1.1	21.2	3.48	50	1.5		7	18					85.1	1.92		2017-07-01/Data import
mivoc	WAL416				11.2	61	5.45	0.62	0.56	0.471	6.7	1.017	4	53	6.81	60	5		16	47					82.2	4.14		2017-07-01/Data import
mivoc	WPP150				6	48	2.1	0.49	0.4	1.14	7.9	1.385	11.5	77	5.41	70	3.4		9.5	26					87.4	4.88		2017-07-01/Data import
mivoc	WPP180				6	46	1.9	0.52	0.41	2.033	13.4	0.896	21.2	130	6.68	80	3.8		8.5	23					89.2	7.44		2017-07-01/Data import
mivoc	WPT138				6.3	51	3.6	0.52	0.45	0.704	7.9	1.232	11.6	82	5.54	70	3.5		9	26					87.7	4.87		2017-07-01/Data import
mivoc	XAW110HC				6	54	4.9	0.36	0.34	0.501	7.2	1.2	4.9	54	6.4	60	3		7.5	22					86.6	6.83		2017-07-01/Data import
mivoc	XAW180HC				5.6	35	4.5	0.41	0.38	0.736	15.1	1.373	33.5	132	6.73	100	4.2		8.5	27					89	8.09		2017-07-01/Data import
mivoc	XAW210HC				3	32	5.3	0.28	0.27	1.747	46.1	0.537	31	203	9.96	120	7.8		13.5	55					91.9	33.07		2017-07-01/Data import
mivoc	XAW310HC				2.8	30	4.9	0.33	0.31	4.476	116.4	0.242	81	489	13.64	220	10		15	72					94.8	66.45		2017-07-01/Data import
Monacor	BLACKBASS-10				7.2	32	7.2	0.46	0.43	3.406	122	0.203	30	325	19.59	175	15		11	30					85.8	53.3		2017-07-01/Data import
Monacor	BLACKBASS-12				7.2	29	8.8	0.51	0.48	3.438	166	0.181	61	490	20.67	200	15		11	30					87.1	59.34		2017-07-01/Data import
Monacor	Predator-12				3.6	33	4.2	0.52	0.46	7.058	143	0.163	64	530	14.33	500	12		15	60					91.9	57.04		2017-07-01/Data import
Monacor	Raptor-12			0	3.3	43	9	0.58	0.54	5.654	188.4	0.073	22.5	470	17.02	1000	13		10	40					90.7	87.78		2017-07-01/Data import
Monacor	Raptor-12MK2				3.4	34	7.8	0.56	0.52	5.802	211.8	0.103	32	470	16.58	1000	13.5		7	50					89.2	80.85		2017-07-01/Data import
Monacor	Raptor-15MK2				3.4	31	8.5	0.75	0.69	6.379	278.4	0.095	87	810	15.68	1000	13.5		7	50					91.1	72.31		2017-07-01/Data import
Monacor	Raptor-6				3.4	53	2.2	0.43	0.36	3.537	23.4	0.386	6.9	113	7.84	100	9		5	25					89.5	18.08		2017-07-01/Data import
Monacor	Sonic-12				3.8	27	11.2	0.49	0.47	3.774	249.1	0.139	51	511	18.1	700	25		20	100					88.3	86.21		2017-07-01/Data import
Monacor	Sonic-15				3.8	25	10.8	0.52	0.5	4.513	310.3	0.131	126	830	18.87	800	25		18	100					91	93.7		2017-07-01/Data import
Monacor	SP-10-100PA				6.9	65	4.1	0.42	0.38	3.202	32.1	0.187	32	350	14.69	100	2.5		10	28					95.8	31.27		2017-07-01/Data import
Monacor	SP-10-150PA				6.9	60	5.36	0.3	0.28	2.497	35.5	0.198	34	350	17.55	150	4		12	35					96.5	44.64		2017-07-01/Data import
Monacor	SP-10A-302PA				6.4	55	7.44	0.31	0.3	1.63	35.1	0.239	40	346	15.82	300	4		12	35					96.3	39.11		2017-07-01/Data import
Monacor	SP-12-100PA				6.8	55	4.34	0.51	0.46	3.872	48.6	0.172	68	531	14.97	100	2.5		12	35					96.2	32.96		2017-07-01/Data import
Monacor	SP-12-200PA				6.8	45	5.2	0.35	0.33	2.356	43.3	0.289	114	531	15.43	200	4		15	50					97.4	35.01		2017-07-01/Data import
Monacor	SP-12-500FH				5.1	45	6.9	0.26	0.25	2.268	55.3	0.226	76	490	17.52	500	7.25		8	30					98.2	60.19		2017-07-01/Data import
Monacor	SP-12A-302PA				6.4	50	7.9	0.35	0.34	2.058	51.8	0.196	77	530	17.24	300	5		12	35					97.4	46.44		2017-07-01/Data import
Monacor	SP-15-300PA				6.8	38	5.44	0.29	0.28	3.397	77.4	0.227	232	855	20.82	300	3		15	50					99.1	63.75		2017-07-01/Data import
Monacor	SP-15A-402PA				6.5	36	7.45	0.33	0.32	2.745	90.4	0.216	235	881	20.07	400	5		12	45					98.1	61.97		2017-07-01/Data import
Monacor	SP-18-1000HP				5.5	38	8.8	0.28	0.27	4.903	180.7	0.097	200	1213	29.11	1000	9.5		7.5	65					99.6	154.07		2017-07-01/Data import
Monacor	SP-30-200PA				6.5	44	6.7	0.41	0.39	1.837	44.5	0.294	120	540	13.97	200	2.5		15	40					96.9	30.02		2017-07-01/Data import
Monacor	SP-30A-200PRO				5.8	45	4.33	0.36	0.33	2.819	43.2	0.29	114	530	14.02	200	2		11	35					98	33.89		2017-07-01/Data import
Monacor	SP-30A-250PA				5.4	52	5.55	0.25	0.24	3.499	59.4	0.158	62	530	20.48	250	3.5		12	40					99.1	77.67		2017-07-01/Data import
Monacor	SP-30A-300NEO				5.1	52	5.36	0.25	0.24	3.744	61.4	0.153	60	530	20.23	300	3.5		12	35					99.2	80.25		2017-07-01/Data import
Monacor	SP-30PATC				5.2	47	3.7	0.3	0.28	3.116	39	0.294	107	510	14.14	200	2		10	30					99.6	38.45		2017-07-01/Data import
Monacor	SP-382PA	W	Active	15	7	32.5	3.03	0.99	0.75	8.08	73	0.26	270	825	10.87	300	3.5				5.32	0.104	0.109	392	92.3	16.88		2018-10-19/Kimmo Saunisto
Monacor	SP-38-300PA				5.9	48	5.7	0.24	0.23	2.796	52.8	0.208	213	855	19.79	300	4		18	50					103.2	66.38		2017-07-01/Data import
Monacor	SP-38A-300NEO				5.2	44	4	0.34	0.31	5.632	81.5	0.161	164	854	18.56	300	3.5		12	35					100	66.24		2017-07-01/Data import
Monacor	SP-38A-300PA				5.4	48	7.45	0.31	0.3	4.779	118	0.093	101	880	24.9	300	4.8		15	50					99.3	114.82		2017-07-01/Data import
Monacor	SP-38A-300PRO				6	50	3.37	0.44	0.39	7.588	81.4	0.124	135	880	18.67	300	2.5		11	35					99.1	58.09		2017-07-01/Data import
Monacor	SP-38A-500BS				6	37	4.37	0.38	0.35	5.998	112.8	0.164	168	855	20.34	500	6		15	60					96.8	68.95		2017-07-01/Data import
Monacor	SP-46-500PA				5.7	30	8.1	0.28	0.27	3.835	164.8	0.171	333	1180	25.15	500	5		18	50					98.5	110.97		2017-07-01/Data import
Monacor	SP-46A-500BS				6	36	4.7	0.54	0.48	7.127	148.1	0.132	250	1163	19.29	500	6		15	60					96.6	62.02		2017-07-01/Data import
Monacor	SP-46A-500PA				6.4	32	6.65	0.26	0.25	5.117	169.2	0.146	285	1180	28.94	500	6		18	70					98.5	130.86		2017-07-01/Data import
Monacor	SP-6-100PA				6.7	90	4.24	0.49	0.44	1.411	10.6	0.296	8	139	9.04	100	0.75		9	20					93.5	12.2		2017-07-01/Data import
Monacor	SP-6-100PRO				3.3	44	5.5	0.29	0.28	0.617	12.3	1.065	28	137	6.22	100	3		6	20					95	11.72		2017-07-01/Data import
Monacor	SP-6-150PA				6.5	73	5.31	0.46	0.42	1.307	15.1	0.314	8.5	139	9.9	150	1		9	25					91.5	15.08		2017-07-01/Data import
Monacor	SP-8-150PA				6.9	88	4.1	0.48	0.43	2.469	18.3	0.179	12	219	12.06	150	1.25		10	25					95	21.08		2017-07-01/Data import
Monacor	SP-8-150PRO				7.2	56	1.52	0.41	0.32	5.4	23.3	0.346	22	213	12.01	150	6		14	45					92.2	20.03		2017-07-01/Data import
Monacor	SPA-25PA				5.7	60	2.23	0.52	0.42	4.836	28.6	0.246	41	345	10.87	125	1.5		9	20					95.8	20.73		2017-07-01/Data import
Monacor	SPA-30PA				6	49	2.7	0.54	0.45	6.037	52.9	0.199	67	490	13.46	175	3		12	28					94.9	30.2		2017-07-01/Data import
Monacor	SPA-38PA				6	37	2.54	0.55	0.45	7.538	82.4	0.225	230	855	14.45	250	3		12	32					96.5	34.8		2017-07-01/Data import
Monacor	SPA-45PA				5.8	29	3.77	0.52	0.46	6.953	143.9	0.209	440	1225	17.1	300	2		12	32					96.5	50.42		2017-07-01/Data import
Monacor	SPH-100AL				6.2	80	3.05	0.67	0.55	0.864	5.2	0.755	3.2	55	4.94	40	1.5		8	19					87	3.94		2017-07-01/Data import
Monacor	SPH-176				6.1	53	1.5	0.52	0.39	2.707	12.2	0.74	19.44	137	6.9	100	3		10	29					90.6	7.8		2017-07-01/Data import
Monacor	SPH-225C				5.9	39	4.94	0.31	0.29	1.947	39.3	0.424	24	201	13.53	100	6		12	45					89.9	31.03		2017-07-01/Data import
Monacor	SPH-250CTC				3.4	20	5.12	0.26	0.25	1.164	47.4	1.335	220	343	8.83	200	4.5		7	22					94	22.93		2017-07-01/Data import
Monacor	SPH-300CTC				3	18	6.5	0.2	0.19	2.075	119.2	0.656	225	495	14.22	300	5.4		7	22					94.4	67.4		2017-07-01/Data import
Monacor	SPH-300TC				3.2	23	3.3	0.26	0.24	2.532	57.8	0.828	290	500	10.14	200	4		10	30					97.3	32.13		2017-07-01/Data import
Monacor	SPH-380TC				3.6	21.5	2.81	0.31	0.28	9.579	199.3	0.275	275	845	17.68	400	11		12	42					94.9	86.83		2017-07-01/Data import
Monacor	SPH-6TB				6.44	50	6	0.29	0.28	1.314	25.1	0.404	10	133	13.23	100	4.5		11	43					89.3	27.18		2017-07-01/Data import
Morel	CAW428				5.5	74	2.33	0.46	0.38	0.933	4.7	0.989	4.5	57	5.1	150	4		8	19					89.6	4.73		2017-07-01/Data import
Morel	CAW538				5.2	49	1.83	0.48	0.38	2.455	14.6	0.723	8.2	90	6.98	150	3		8	19					86.9	9.37		2017-07-01/Data import
Morel	CAW638				6.4	43	2.2	0.58	0.46	2.125	17.3	0.792	15.7	119	7.18	150	4.25		10	27					86.3	8.06		2017-07-01/Data import
Morel	CAW938				6.3	29	2.3	0.67	0.52	2.29	28.9	1.042	70	219	7.04	150	4.75		10	27					87.1	7.87		2017-07-01/Data import
Morel	EW 428				6.3	62	2.36	0.41	0.35	1.053	6.4	1.033	4.7	57	6.18	150	4.5		9	25					87.4	6.06		2017-07-01/Data import
Morel	EW 536				4.5	45	1.16	0.28	0.23	3.21	13.2	0.95	10.3	88	7.74	150	5.5		7	20					89.8	13.31		2017-07-01/Data import
Morel	EW 638				5	39	1.71	0.39	0.32	2.331	16.3	1.024	20.3	119	7.15	150	6		9	25					88.9	10.22		2017-07-01/Data import
Morel	HU621				5.6	43	2.34	0.45	0.38	1.162	10.1	1.361	27	119	5.82	150	3.5		8	19					90.3	6.05		2017-07-01/Data import
Morel	HU9.1				6.6	30	1.71	0.46	0.36	2.935	26.6	1.057	71	219	8.49	200	4.25		10	25					89	10.92		2017-07-01/Data import
Morel	MW 1075				6.3	29	2.48	0.83	0.62	2.645	36	0.837	123	324	7.06	180	4.25		10	30					88.6	7.91		2017-07-01/Data import
Morel	MW 1076			10	6.4	22	2.3	0.63	0.5	2.16	36	1.5	213.65	324	7.1	180	4.25				0.62				88.5	7.88		
Morel	MW 1077			10	6.6	28.5	2.27	0.53	0.43	2.33	29.6	1.1	155	324	8.1	200	4.25				0.12				91.1	9.94		
Morel	MW 113			4.5	6.2	73.6	3.13	1	0.76	0.82	5.54	0.84	4.4	61	3.98	150	3		8	20	0.25				85.5	2.55		
Morel	MW 114-S	M		4	5.6	67	2.32	0.36	0.31	1.27	7	0.81	3.17	53	6.75	150	3		8	20	0.47				87.8	8.14		
Morel	MW 1275			12	6.4	24.3	3.73	1.07	0.83	2.25	55	0.78	276.29	503	7.1	250	4.25				0.62				88.7	7.88		
Morel	MW 142			5.25	5.2	54	2.14	0.64	0.49	2.06	13	0.67	7.58	90	6	150	3.5				0.5				86.6	6.92		
Morel	MW 143			5.25	5.3	46.7	1.48	0.28	0.24	1.86	9.4	1.2	14	90	7.2	150	3.5				0.11				90.9	9.78		
Morel	MW 144				5.2	45	1.71	0.46	0.36	1.892	11.4	1.093	12.4	90	6.05	150	3.5		6	15					87.8	7.04		2017-07-01/Data import
Morel	MW 164	W		6.5	6.4	51	2.53	0.78	0.59	2.15	17	0.57	11.36	119	6.7	150	4.25				0.62				85.8	7.01		
Morel	MW 166	W		6.5	6.4	51.6	2.66	0.84	0.64	1.95	16	0.6	11.8	119	6.3	150	4.25				0.62				85.8	6.2		
Morel	MW 168	W		6.5	5.2	47.3	2.09	0.5	0.4	1.99	14	0.81	16	119	6.58	150	1.75		7	15	0.51				89.2	8.33		
Morel	MW 266	W		8	6.4	31.2	2.58	0.77	0.59	1.9	25	1	70	219	6.4	150	4.25		9	20	0.62				87.4	6.4		
Morel	MW 267	W		8	6.6	25	2.08	0.39	0.33	1.82	24	1.7	113	219	8	180	4.25				0.16				89.4	9.7		
Morel	SCW 636				4.5	40	1.8	0.35	0.29	2.37	17	0.933	18.5	119	7.41	150	5		7	12					89.8	12.2		2017-07-01/Data import
MPA	WM8			8	6.6	45	6.2	0.33	0.31	0.938	20.6	0.608	39	214	10.79	120	5		10.5	16.5					93.2	17.64		2017-07-01/Data import
NHT	1259			12	3.4	19.9	2.58	0.56	0.46	5.88	121	0.53	190	507	9.59	300	6.5								90	27.05		
Omnes Audio	BB3.01				3.55	98	2.52	0.56	0.46	0.556	2.3	1.159	1.56	31	2.98	15	2		4	6					89.7	2.5		2017-07-01/Data import
Omnes Audio	SW6.01_KT				3.38	51	4.24	0.6	0.53	2.982	39.5	0.247	6.3	135	8.44	50	4		9	48					87.2	21.08		2017-07-01/Data import
P.Audio	WN-10R				6.6	61	3.1	0.51	0.44	3.136	25.4	0.268	45	346	11.22	150	2.7		10	34					95.9	19.07		2017-07-01/Data import
p2cone	FDS60AQ				8	50	0.71	0.71	0.36	4.186	9.5	1.071	60	200	5.79	100	2		8	8					92.2	4.19		2017-07-01/Data import
Peerless	114 WR 26 60 SADN CAN 8 6ohm	W		4.5	5.7	109.6	4.32	1.1	0.88	0.95	5.9	0.36	1.7	58	4.6	90	0.5				0.8				86.6	3.71		
Peerless	130 WR 26 102 PPB 4 ohm	W		5.25	3.3	50.2	1.69	0.31	0.26	1.62	8.7	1.2	11.7	85	5.4	100	1				0.5				92.6	8.84		
Peerless	130 WR/832592	W		5.25	6.1	52.7	2.14	0.56	0.44	1.3	8.4	1.1	11	85	5.5	100	2				1.1				87.8	4.96		
Peerless	140 WR 26 72 SADN CAN 8 6ohm	W		5.25	5.7	54.4	2.29	0.4	0.34	1.27	8.5	1	11.6	91	6.4	100	2				1.1				90.2	7.19		
Peerless	145 WR 26 72 PPB TV 8ohm	W		5.25	6.1	66.4	1.97	0.54	0.42	1.81	8.5	0.66	6.7	85	6.3	110	2				1.1				88.8	6.51		
Peerless	145 WR 26 90 SD AL 4ohm	W		5.25	3.7	50	1.91	0.35	0.3	1.65	10	0.99	11.5	91	5.8	110	2.5				0.6				91.5	9.09		
Peerless	146 MR 26 90 PPB AL 8 ohm	W		5.25	5.9	56.6	1.88	0.43	0.35	1.74	9.2	0.86	8.7	85	6.7	125	3.5				0.9				89	7.61		
Peerless	165 WF 33 102 PPB 4 ohm	W		6.5	3.2	43.6	2.03	0.34	0.29	2.12	15.7	0.85	20.1	130	6.4	150	3				0.7				92.9	12.8		
Peerless	165 WF 33 102 PPB 8 ohm	W		6.5	6.1	45.5	1.68	0.43	0.34	2.38	14	0.87	20.7	130	7.5	150	4				1.2				89.7	9.22		
Peerless	165 WF 33 102 SP 8 ohm	W		6.5	5.9	52.3	2.08	0.45	0.37	2.32	14.7	0.63	17.3	140	8	150	4				1.2				90.7	10.85		
Peerless	165 WR 33 102 PPB 8 ohm	W		6.5	6.3	34.8	1.59	0.36	0.29	2.12	15.4	1.4	32.2	130	7.7	150	4				1.2				88.8	9.41		
Peerless	176 WR 26 72 PPB TV 8ohm	W		6.5	6	41.3	2.04	0.48	0.39	1.62	12.7	1.2	27.6	130	6.4	110	3.5				1.3				89.3	6.83		
Peerless	176 WR 33 102 SADN AL LS 8ohm	W		6.5	6.2	43.4	2.32	0.46	0.38	2.24	19	0.7	20	143	8.4	150	5.5				1.3				88.6	11.38		
Peerless	180 WR/832732	W		6.5	6.1	34	1.68	0.37	0.3	2.01	15.8	1.4	32.9	130	7.5	150	5.5				0.9				88.6	9.22		
Peerless	205 WR 33 102 SD 4L AL 8 ohm				5.7	30	3.02	0.3	0.27	1.777	28.5	0.988	67	220	10.1	180	5.5		13	30					91.3	17.9		2017-07-02/Data import
Peerless	210 WF 33 102 PPB 4 ohm	W		8	3.1	33.9	1.93	0.37	0.31	2.38	21.5	1	72.5	225	6.2	150	3				0.7				94.9	12.4		
Peerless	210 WF/832556	W		8	6.1	30.7	2.38	0.46	0.38	1.87	23.1	1.2	82.4	225	7.7	150	4				1.6				90.3	9.72		
Peerless	210 WR 39 115 PPB 8 ohm	W		8	5.4	31.1	2.18	0.35	0.31	2.66	29.7	0.88	62.4	225	9.4	180	6.5				2.1				91	16.36		
Peerless	217 WR 33 102 SD 4L AL 8ohm	W		8	5.9	27.4	3.66	0.31	0.28	1.54	32.73	1	79.7	235	10.4	150	3.5				2.6				90.6	18.33		
Peerless	220 WR 39 115 HP AL LS 8ohm	W		8	6.5	28.6	1.96	0.35	0.3	2.79	30.4	1	78.8	235	10	150	8.5				1.9				90.1	15.38		
Peerless	220 WR/831709	W		8	5	24.2	2.71	0.56	0.47	1.98	35.4	1.2	86.9	225	6.9	150	5.5				1.2				87.5	9.52		
Peerless	250 WF 33 102 PPB 4 ohm	W		10	3.2	25.7	2.21	0.4	0.34	2.26	30.9	1.2	167.2	310	6.3	150	3				0.7				94.5	12.4		
Peerless	250 WF 33 102 PPB 8 ohm	W		10	6.1	26.3	2.34	0.52	0.43	2.17	30.7	1.2	160.6	310	7.7	150	4				1.5				90.7	9.72		
Peerless	250 WF/831743	W		10	5.6	25.7	3.44	0.27	0.25	2.21	47.1	0.81	109.6	310	12.5	200	5				4				91.9	27.9		
Peerless	260 SWR/831727	S		10	5.4	21.4	2.71	0.4	0.35	2.71	54.8	1	136.2	310	10	220	9				3.3				88.9	18.52		
Peerless	265 SWR 55 147 HPX AL+ALP 4L XLS 8	S		10	3.6	18.2	1.93	0.11	0.1	5.97	100.3	0.75	130.8	353	19.3		12.5				4.9				94	103.47		
Peerless	269 SWR	S		10	3.4	18.9	2.63	0.18	0.17	6.12	135.4	0.52	89.7	352	17.5						4.3				91	90.07		
Peerless	303 PWF/831645	W		12	5.8	45.6	3.19	0.65	0.54	5.31	59.2	0.21	77.9	520	12.3	250	5				1.3				94	26.08		
Peerless	303 SWF/831573	S		12	5.7	20.7	3.21	0.31	0.28	2.8	69.1	0.86	324.7	520	12.8	220	5				5.1				93.2	28.74		
Peerless	315 SWR 39 134 PPX AL 4L 8 ohm	S		12	5.5	22.8	3.88	0.52	0.45	3.25	88.2	0.55	210	520	11.6	220	9				2.8				90.4	24.47		
Peerless	315 SWR 39 134 THSX 4L AL SLS 8 Ohm	S		12	5.7	25.7	5.52	0.47	0.43	2.2	75.2	0.51	208.2	540	11.95	220	8				2.4		0.3		92.2	25.05		
Peerless	830237 100 WR 26 72 CD 4ohm	W		4.5	3.2	81.2	3.53	0.6	0.51	0.92	6.4	0.59	2.8	58	4.1	110	0.5				0.5				90	5.25		
Peerless	830238 130 WR 26 81 CD 4ohm	W		5.25	3.3	61.3	3.45	0.56	0.48	1.15	10.3	0.65	7.5	91	4.8	110	2				0.6				90.7	6.98		
Peerless	830842	S		10	2.6	19.2	8.74	0.19	0.19	1.84	133.8	0.52	88.4	352	14.9	175	12.5				4.2				92.1	85.39		
Peerless	831510	W		8	6	35.9	3.03	1.12	0.82	1.56	20.91	0.94	66.6	225	5.03	100	1.75				1.4				87.6	4.22		
Peerless	831758	W		8	3.5	22	2.19	0.43	0.36	2.15	34	1.5	109.1	225	6.18	150	2				0.9				89.9	10.91		
Peerless	831759	W		10	2.6	22.3	2.84	0.3	0.27	2.77	56.2	0.91	121.9	310	8.26	220	3.75				1.8				93.4	26.24		
Peerless	831858	W		8	2.6	22.1	3.08	0.25	0.23	2.17	48.1	1.1	79.8	230	8.34	230	3.5				1.3				92.3	26.75		
Peerless	850108	W		5.25	6.1	48.5	1.78	0.42	0.34	1.71	10	1.1	12.5	91	6.65	110	2.25				0.9				88.5	7.25		
Peerless	850122	W		6.5	6.1	38.4	2.22	0.53	0.43	1.93	17.8	0.97	27.7	143	7.03	150	2.75		9	25	1.3				87.9	8.1		
Peerless	850146	S		10	5.5	22.6	2.56	0.4	0.35	2.87	51.9	0.96	144.4	330	10	200	9				2.9				89.8	18.18		
Peerless	BC18WK05-08	W	Active	6.5	5.55	59.35	2.5	0.57	0.46	1.7	11.6	0.6205	16.82	138.9	6.51	60	3.4	0			0.28				91.5	7.64		
Peerless	Coral PRF400	S		15	3.2	29	7.72	0.51	0.48	7.25	307.3	0.1	106.9	892	18.7	600	11.4				5.7				93.1	109.28		
Peerless	HDS 134 Nomex 830873	W		5.25	6	58.6	2.39	0.46	0.38	1.4	9.1	0.81	8.7	88	6.6	100	3.5				0.8				89.1	7.26		
Peerless	HDS 164 850439	W		6.5	6.2	44.9	2.28	0.42	0.35	2.34	18.9	0.66	18.7	143	8.9	150	5.5		10	20	1.3				89.2	12.78		
Peerless	HDS 5.25" Exclusive 831882	W		5.25	5.9	64.5	3.85	0.43	0.39	0.93	8.8	0.69	7.2	87	7		3.5				0.4				89.8	8.31		
Peerless	HDS-P830860	W	Active	5.25	5.9	61.6	2.21	0.59	0.47	1.58	9	0.7405	8.41	89.9	5.9	50	3.5		6.5	16	0.27				88.5	5.9	1	2016-03-03/Datasheet Import
